STABR,STATENAME,TOTCOU,TOTSTU
AL,ALABAMA,1516.31,743789
AK,ALASKA,308.43,132477
AZ,ARIZONA,1228.01,1109040
AR,ARKANSAS,1303.42,492132
CA,CALIFORNIA,8799.5,6226737
CO,COLORADO,2391.96,899112
CT,CONNECTICUT,1169.79,537933
DE,DELAWARE,319.75,134847
DC,DISTRICT OF COLUMBIA,171.58,88200
FL,FLORIDA,5770.04,2792234
GA,GEORGIA,3689.8,1757237
HI,HAWAII,634.2,181995
ID,IDAHO,500.11,292277
IL,ILLINOIS,3011,2041779
IN,INDIANA,1963.87,1046757
IA,IOWA,1218.31,508014
KS,KANSAS,1111,495884
KY,KENTUCKY,1553.42,686598
LA,LOUISIANA,1828.19,718711
ME,MAINE,564.2,181613
MD,MARYLAND,2361.32,879601
MA,MASSACHUSETTS,2349.08,964026
MI,MICHIGAN,2063.6,1536231
MN,MINNESOTA,1245.94,864384
MS,MISSISSIPPI,1120.4,487200
MO,MISSOURI,2636.84,919234
MT,MONTANA,448.86,145319
NE,NEBRASKA,830.98,316014
NV,NEVADA,964.5,467527
NH,NEW HAMPSHIRE,828.4,182425
NJ,NEW JERSEY,3816.4,1408845
NM,NEW MEXICO,713.1,335694
NY,NEW YORK,6932.52,2711626
NC,NORTH CAROLINA,4124.16,1544934
ND,NORTH DAKOTA,358.58,108644
OH,OHIO,3880.67,1716585
OK,OKLAHOMA,1611.15,692878
OR,OREGON,1127.14,576407
PA,PENNSYLVANIA,4316.91,1717414
RI,RHODE ISLAND,335.17,142014
SC,SOUTH CAROLINA,2079.1,763533
SD,SOUTH DAKOTA,345.51,134253
TN,TENNESSEE,2979.7,1001235
TX,TEXAS,11942.71,5301477
UT,UTAH,952.07,647870
VT,VERMONT,450.53,88575
VA,VIRGINIA,3334.32,1283590
WA,WASHINGTON,2130.62,1087030
WV,WEST VIRGINIA,730.83,277452
WI,WISCONSIN,1891.07,867800
WY,WYOMING,420.78,94717
BI,BUREAU OF INDIAN EDUCATION,-1,-1
AS,AMERICAN SAMOA,-1,-1
DD,DEPARTMENT OF DEFENSE EDUCATION ACTIVITY,-1,74970
GU,GUAM,83,30821
PR,PUERTO RICO,659,379818
VI,U.S. VIRGIN ISLANDS,55,13805
